Site	year	DOY	time	T_R1	T_R0	VZA	T_A1	T_A0	u	ea	p	S_dn	RN	L_dn	LAI	h_C	f_c	f_g	w_C
1	2021	22	13.0	287.1056401631553	276.89152650577125	0.0	283.595	277.983	2.30136	12.0547	992.357	282.722	222.811	357.073	1.0	3.0	1.0	1.0	1.0
1	2021	23	13.0	288.92599556466166	279.9718801385773	0.0	282.991	278.894	1.75668	8.300460000000001	989.794	480.277	322.373	304.456	1.0	3.0	1.0	1.0	1.0
1	2021	24	13.0	286.81004669564993	277.22578428891234	0.0	283.598	278.095	4.61803	9.16165	991.31	246.676	165.659	335.661	1.0	3.0	1.0	1.0	1.0
1	2021	25	13.0	282.8489945007826	277.1934738558254	0.0	280.526	276.321	7.32522	7.39976	987.5369999999999	327.467	230.73	303.221	1.0	3.0	1.0	1.0	1.0
1	2021	26	13.0	291.61955019054807	274.0213633553702	0.0	283.585	275.417	2.94117	5.848390000000001	994.422	682.774	445.632	271.533	1.0	3.0	1.0	1.0	1.0
1	2021	27	13.0	283.544597280169	282.3897537951469	0.0	282.384	281.663	5.43254	11.5114	993.37	57.995	48.1199	362.149	1.0	3.0	1.0	1.0	1.0
1	2021	28	13.0			0.0	281.664	282.35	0.837792		988.918	56.0426	38.4594	353.764	1.0	3.0	1.0	1.0	1.0
1	2021	29	13.0	286.404027364708		0.0	283.009	278.772	0.720558	8.99498	991.009	202.075	147.724	349.232	1.0	3.0	1.0	1.0	1.0
1	2021	30	13.0	293.07911583009644		0.0	285.432	275.561	2.60376	9.74416	1000.53	686.608	493.625	322.396	1.0	3.0	1.0	1.0	1.0
1	2021	31	13.0	292.9753903294609		0.0	288.96	278.467	2.34694	7.385510000000001	997.8439999999999	401.419	255.236	325.622	1.0	3.0	1.0	1.0	1.0
1	2021	32	13.0	298.67293111687945	278.6841214652254	0.0	290.692	279.876	2.70151	7.2099	996.01	674.364	434.304	307.821	1.0	3.0	1.0	1.0	1.0
1	2021	33	13.0	298.6588908377542	280.86169959854925	0.0	290.28	280.477	2.97022	12.496400000000001	997.1179999999999	686.909	451.98	314.334	1.0	3.0	1.0	1.0	1.0
1	2021	34	13.0	296.2454765741486	282.7500718963869	0.0	288.188	283.087	4.15891	10.266300000000001	997.2439999999999	691.603	450.503	295.54	1.0	3.0	1.0	1.0	1.0
1	2021	35	13.0	299.86567731440704	280.01285977209784	0.0	290.076	281.015	1.77096	6.361180000000001	998.143	709.928	444.751	295.345	1.0	3.0	1.0	1.0	1.0
1	2021	36	13.0	301.0507043603568	279.06420593999303	0.0	292.63	281.372	2.58527	7.031929999999999	997.1980000000001	722.365	453.177	302.64	1.0	3.0	1.0	1.0	1.0
1	2021	37	13.0	303.46023375667943	281.3995162479005	0.0	294.714	283.569	1.32126	7.47242	994.586	723.457	445.376	309.355	1.0	3.0	1.0	1.0	1.0
1	2021	38	13.0	301.3846288670574	279.63357167480467	0.0	292.271	281.606	2.36775	11.575299999999999	991.057	724.331	458.209	308.297	1.0	3.0	1.0	1.0	1.0
1	2021	40	13.0	292.4687920469478	282.9864252185999	0.0	285.373	281.697	1.84224	9.98772	994.6210000000001	445.304	292.267	323.9	1.0	3.0	1.0	1.0	1.0
1	2021	41	13.0	299.4710013359097	282.49032032718895	0.0	290.878	282.172	3.83809	9.64337	994.952	725.666	476.605	313.985	1.0	3.0	1.0	1.0	1.0
1	2021	42	13.0	295.0827987324064	282.9220901581728	0.0	288.659	281.667	4.19036	10.9939	995.17	520.425	335.063	319.913	1.0	3.0	1.0	1.0	1.0
1	2021	43	13.0	293.603358433369	283.0004903955319	0.0	286.5	282.04	6.47709	10.0486	993.523	769.538	525.115	292.747	1.0	3.0	1.0	1.0	1.0
1	2021	44	13.0	290.9111761471038	283.0054713161974	0.0	285.725	282.739	5.9944	10.600699999999998	993.931	453.857	331.366	349.738	1.0	3.0	1.0	1.0	1.0
1	2021	45	13.0	295.9498048003108	281.19498263972366	0.0	287.189	281.411	4.86217	8.0348	994.9639999999999	750.6	501.736	296.186	1.0	3.0	1.0	1.0	1.0
1	2021	46	13.0	295.6277737154644	283.991060923827	0.0	288.283	283.322	5.59773	12.348599999999998	996.567	691.349	483.186	327.281	1.0	3.0	1.0	1.0	1.0
1	2021	47	13.0	295.36857921681667	282.372854615411	0.0	286.768	282.643	4.95727	8.98085	995.5980000000001	773.288	516.343	288.957	1.0	3.0	1.0	1.0	1.0
1	2021	48	13.0	296.01495195231035	281.6061737534509	0.0	287.848	281.878	6.26068	7.14278	995.937	790.774	520.461	284.199	1.0	3.0	1.0	1.0	1.0
1	2021	49	13.0	299.9220378918943	279.36559226955274	0.0	290.027	278.903	2.60842	3.7544699999999995	1005.3100000000001	778.056	496.372	292.061	1.0	3.0	1.0	1.0	1.0
1	2021	50	13.0	299.119174450717	282.3584219211195	0.0	290.966	282.291	4.81539	5.663819999999999	1001.48	770.445	518.667	314.638	1.0	3.0	1.0	1.0	1.0
1	2021	51	13.0	295.27376871914976	282.0440415599176	0.0	286.457	281.694	6.18647	7.12086	1001.47	798.073	528.326	281.745	1.0	3.0	1.0	1.0	1.0
1	2021	52	13.0	301.61378356766323	282.29042562500774	0.0	291.715	282.262	2.76202	4.69732	1004.71	790.314	505.743	300.666	1.0	3.0	1.0	1.0	1.0
1	2021	54	13.0	296.1919312044865	284.841431052239	0.0	292.943	286.029	3.0923	6.99064	995.133	357.954	200.653	329.961	1.0	3.0	1.0	1.0	1.0
1	2021	55	13.0	303.3012242499262	286.49296411420084	0.0	294.78	287.536	3.93673	5.478800000000001	995.222	821.923	521.312	304.892	1.0	3.0	1.0	1.0	1.0
1	2021	56	13.0	302.20888597034	282.2055708218295	0.0	291.637	282.223	2.15342	4.84409	998.574	813.306	514.631	297.601	1.0	3.0	1.0	1.0	1.0
1	2021	61	13.0	300.5621874085322	279.9550064325192	0.0	290.393	279.44	4.16532	3.36311	990.7119999999999	871.006	552.681	283.671	1.0	3.0	1.0	1.0	1.0
1	2021	62	13.0	291.4378221041894	280.4350911919246	0.0	284.733	280.193	3.20741	9.44877	987.9250000000001	654.567	460.588	317.418	1.0	3.0	1.0	1.0	1.0
1	2021	63	13.0	299.7466952962949	280.39514093462554	0.0	287.945	278.828	1.84217	9.21667	1002.1299999999999	833.886	544.245	294.894	1.0	3.0	1.0	1.0	1.0
1	2021	65	13.0	297.58950475785036	285.7325442345709	0.0	287.794	284.504	6.20936	10.7731	994.7	870.703	595.125	303.328	1.0	3.0	1.0	1.0	1.0
1	2021	66	13.0	288.6602600434542	282.95489073946464	0.0	284.965	280.73	1.00178	11.5416	995.7819999999999	196.006	137.812	365.389	1.0	3.0	1.0	1.0	1.0
1	2021	67	13.0	297.38117084335903	282.91845517779103	0.0	286.227	281.469	3.73298	6.80234	1000.91	858.377	570.283	285.193	1.0	3.0	1.0	1.0	1.0
1	2021	68	13.0	297.3624779121238	283.25970219565085	0.0	286.445	280.93	5.30719	8.177859999999999	999.063	948.552	658.626	304.04	1.0	3.0	1.0	1.0	1.0
1	2021	69	13.0	286.7338270888868	281.41159922717605	0.0	280.381	280.041	2.06664	8.9253	994.857	562.232	414.715	322.433	1.0	3.0	1.0	1.0	1.0
1	2021	70	13.0	283.15596927153075		0.0	280.163	278.559	3.49345	7.59575	995.9039999999999	189.479	126.308	328.596	1.0	3.0	1.0	1.0	1.0
1	2021	71	13.0	290.99346096160036	281.95050886500377	0.0	284.577	280.148	4.92547	9.996970000000001	998.8080000000001	666.858	489.71	338.581	1.0	3.0	1.0	1.0	1.0
1	2021	73	13.0	293.1979268596098	281.36588892557626	0.0	284.931	280.696	4.29633	8.10784	1002.5	706.93	482.222	307.335	1.0	3.0	1.0	1.0	1.0
