Site	year	DOY	time	T_R1	T_C	T_S	VZA	T_A1	T_A0	u	ea	p	S_dn	L_dn	LAI	h_C	f_c	f_g	w_C
1	2021	21	13.0	304.8120712628412	304.8120712628412	290.568	0.0	295.466	0.0	2.97975	3.7902400000000003	994.821	652.665	309.186	1.0	3.0	1.0	1.0	1.0
1	2021	21	13.5	303.99458828391926	303.99458828391926	291.48	0.0	295.249	0.0	3.84172	3.4158999999999997	994.645	633.551	307.002	1.0	3.0	1.0	1.0	1.0
1	2021	21	14.0	302.52583790183223	302.52583790183223	292.201	0.0	294.623	0.0	4.25414	3.40283	994.649	594.067	304.942	1.0	3.0	1.0	1.0	1.0
1	2021	21	14.5	301.6460922500232	301.6460922500232	292.825	0.0	294.074	0.0	3.46257	3.43337	994.4839999999999	537.759	303.169	1.0	3.0	1.0	1.0	1.0
1	2021	21	15.0	299.9655175272026	299.9655175272026	293.285	0.0	293.552	0.0	3.21796	3.57688	994.397	466.816	302.237	1.0	3.0	1.0	1.0	1.0
1	2021	21	15.5	298.0624276508119	298.0624276508119	293.567	0.0	293.12	0.0	2.55925	3.49282	994.4510000000001	385.654	300.622	1.0	3.0	1.0	1.0	1.0
1	2021	21	16.0	295.43887033713213	295.43887033713213	293.65	0.0	292.474	0.0	2.38957	3.69955	994.2950000000001	293.684	298.484	1.0	3.0	1.0	1.0	1.0
1	2021	21	16.5	292.81056208983154	292.81056208983154	293.61	0.0	291.649	0.0	1.588	4.27412	994.4619999999999	194.154	296.354	1.0	3.0	1.0	1.0	1.0
1	2021	21	17.0	288.92923099864066	288.92923099864066	293.345	0.0	289.749	0.0	3.06681	4.19836	994.379	87.4624	291.665	1.0	3.0	1.0	1.0	1.0
1	2021	21	17.5	285.7404214401164	285.7404214401164	292.833	0.0	287.667	0.0	3.33056	3.2598100000000003	994.298	5.11967	285.814	1.0	3.0	1.0	1.0	1.0
1	2021	21	18.0	284.34964395333606	284.34964395333606	292.146	0.0	286.627	0.0	3.22988	2.7944999999999998	994.352	-4.48841	282.436	1.0	3.0	1.0	1.0	1.0
1	2021	21	18.5	284.5356835950522	284.5356835950522	291.424	0.0	286.648	0.0	3.6145	2.37255	994.565	-4.51771	281.133	1.0	3.0	1.0	1.0	1.0
1	2021	21	19.0	282.7200408321124	282.7200408321124	290.75	0.0	284.128	0.0	2.75302	5.099359999999999	994.833	-6.27965	274.78	1.0	3.0	1.0	1.0	1.0
1	2021	21	19.5	282.5954747998881	282.5954747998881	290.158	0.0	283.354	0.0	3.56803	8.04687	995.03	-4.88667	273.94	1.0	3.0	1.0	1.0	1.0
1	2021	21	20.0	282.417133385344	282.417133385344	289.645	0.0	282.71	0.0	3.72424	9.94467	995.1980000000001	-4.63627	275.25	1.0	3.0	1.0	1.0	1.0
1	2021	21	20.5	281.7017225759345	281.7017225759345	289.212	0.0	282.224	0.0	1.93955	10.426900000000002	995.424	-4.22519	283.147	1.0	3.0	1.0	1.0	1.0
1	2021	21	21.0	281.44555239353014	281.44555239353014	288.806	0.0	281.932	0.0	2.11131	10.0959	995.5830000000001	-4.40052	277.588	1.0	3.0	1.0	1.0	1.0
1	2021	21	21.5	280.7563799626489	280.7563799626489	288.485	0.0	281.572	0.0	1.6056	9.913730000000001	995.544	-4.30896	276.708	1.0	3.0	1.0	1.0	1.0
1	2021	21	22.0	280.6381041759364	280.6381041759364	288.075	0.0	281.378	0.0	1.47146	9.91732	995.4000000000001	-3.72073	286.235	1.0	3.0	1.0	1.0	1.0
1	2021	21	22.5	279.2253096879907	279.2253096879907	287.772	0.0	280.711	0.0	1.71048	9.66776	995.2339999999999	-4.68113	268.904	1.0	3.0	1.0	1.0	1.0
1	2021	21	23.0	277.95509492362504	277.95509492362504	287.433	0.0	280.12	0.0	1.32964	9.27138	995.0060000000001	-4.74842	267.669	1.0	3.0	1.0	1.0	1.0
1	2021	21	23.5	276.5716867430224	276.5716867430224	287.065	0.0	278.77	0.0	0.929321	8.22064	994.9260000000002	-4.22016	266.67	1.0	3.0	1.0	1.0	1.0
1	2021	22	0.0	276.5536942377818	276.5536942377818	286.68	0.0	278.036	0.0	1.94804	7.7551499999999995	994.565	-3.99905	261.481	1.0	3.0	1.0	1.0	1.0
1	2021	22	0.5	275.50975060569885	275.50975060569885	286.315	0.0	277.157	0.0	0.947734	7.41368	994.243	-4.80335	258.152	1.0	3.0	1.0	1.0	1.0
1	2021	22	1.0	274.96861869372424	274.96861869372424	285.946	0.0	276.728	0.0	0.519582	7.1152999999999995	994.0939999999999	-3.31057	259.179	1.0	3.0	1.0	1.0	1.0
1	2021	22	1.5	275.7428170518475	275.7428170518475	285.602	0.0	277.444	0.0	0.77648	7.250570000000001	994.068	-1.72075	284.253	1.0	3.0	1.0	1.0	1.0
1	2021	22	2.0	278.93180921125713	278.93180921125713	285.267	0.0	279.033	0.0	2.35355	8.644260000000001	994.3639999999999	-2.11946	301.019	1.0	3.0	1.0	1.0	1.0
1	2021	22	2.5	279.33618805229133	279.33618805229133	285.114	0.0	279.082	0.0	1.75375	8.645689999999998	994.383	-2.05446	308.489	1.0	3.0	1.0	1.0	1.0
1	2021	22	3.0	278.2817105136813	278.2817105136813	285.05	0.0	278.992	0.0	1.74842	8.56082	994.207	-3.1444	284.127	1.0	3.0	1.0	1.0	1.0
1	2021	22	3.5	277.31829530019286	277.31829530019286	284.905	0.0	278.188	0.0	0.917078	8.078990000000001	993.9060000000001	-3.75735	285.481	1.0	3.0	1.0	1.0	1.0
1	2021	22	4.0	276.219063758817	276.219063758817	284.776	0.0	277.348	0.0	0.436849	7.55328	993.668	-2.01646	292.808	1.0	3.0	1.0	1.0	1.0
1	2021	22	4.5	277.8947499403514	277.8947499403514	284.645	0.0	277.567	0.0	0.335011	7.64544	993.664	-0.26871	326.301	1.0	3.0	1.0	1.0	1.0
1	2021	22	5.0	279.164255078237	279.164255078237	284.455	0.0	278.645	0.0	0.943753	8.231090000000002	993.779	0.280153	332.006	1.0	3.0	1.0	1.0	1.0
1	2021	22	5.5	278.3212349666438	278.3212349666438	284.45	0.0	278.643	0.0	0.199398	8.13465	993.762	-1.25749	317.487	1.0	3.0	1.0	1.0	1.0
1	2021	22	6.0	279.4238594849847	279.4238594849847	284.45	0.0	279.036	0.0	0.573245	8.29589	993.985	-0.212862	332.938	1.0	3.0	1.0	1.0	1.0
1	2021	22	6.5	278.87329294071094	278.87329294071094	284.45	0.0	279.185	0.0	0.317712	8.3109	994.187	-1.27168	317.348	1.0	3.0	1.0	1.0	1.0
1	2021	22	7.0	277.79913208820005	277.79913208820005	284.45	0.0	278.651	0.0	0.446379	8.21135	994.2060000000001	-1.50468	304.741	1.0	3.0	1.0	1.0	1.0
1	2021	22	7.5	277.75054953561204	277.75054953561204	284.45	0.0	278.585	0.0	0.894996	8.200610000000001	994.1039999999999	6.65503	298.095	1.0	3.0	1.0	1.0	1.0
1	2021	22	8.0	276.89152650577125	276.89152650577125	284.353	0.0	277.983	0.0	0.939804	7.946420000000001	994.071	22.9204	273.321	1.0	3.0	1.0	1.0	1.0
1	2021	22	8.5	282.51720463867633	282.51720463867633	284.252	0.0	280.26	0.0	0.359343	8.81128	994.075	199.153	319.572	1.0	3.0	1.0	1.0	1.0
1	2021	22	9.0	286.72882466421504	286.72882466421504	284.298	0.0	284.085	0.0	0.665579	9.5178	993.96	251.82	333.803	1.0	3.0	1.0	1.0	1.0
1	2021	22	9.5	287.0319639259266	287.0319639259266	284.692	0.0	284.432	0.0	1.91705	9.25647	994.1289999999999	209.294	339.933	1.0	3.0	1.0	1.0	1.0
1	2021	22	10.0	287.84447112825615	287.84447112825615	285.242	0.0	284.848	0.0	1.79656	9.06594	994.204	170.64	353.863	1.0	3.0	1.0	1.0	1.0
1	2021	22	10.5	289.48991572202857	289.48991572202857	285.757	0.0	285.161	0.0	2.17246	9.13019	993.995	247.956	349.917	1.0	3.0	1.0	1.0	1.0
1	2021	22	11.0	288.3686215226996	288.3686215226996	286.249	0.0	284.873	0.0	2.33003	9.344949999999999	993.8599999999999	151.435	361.36	1.0	3.0	1.0	1.0	1.0
1	2021	22	11.5	288.07346603007375	288.07346603007375	286.613	0.0	284.752	0.0	2.23245	9.59492	993.4689999999999	134.81	361.678	1.0	3.0	1.0	1.0	1.0
1	2021	22	12.0	286.7494172828435	286.7494172828435	286.897	0.0	283.978	0.0	2.4976	10.126100000000001	993.107	98.8173	361.969	1.0	3.0	1.0	1.0	1.0
1	2021	22	12.5	285.357423977256	285.357423977256	287.108	0.0	282.62	0.0	1.7813	11.292200000000001	992.785	103.077	362.57	1.0	3.0	1.0	1.0	1.0
1	2021	22	13.0	287.1056401631553	287.1056401631553	287.15	0.0	283.595	0.0	2.30136	12.0547	992.357	282.722	357.073	1.0	3.0	1.0	1.0	1.0
1	2021	22	13.5	287.51395734110895	287.51395734110895	287.287	0.0	284.143	0.0	3.34612	10.9349	992.2969999999999	304.644	347.611	1.0	3.0	1.0	1.0	1.0
1	2021	22	14.0	287.8212291833665	287.8212291833665	287.584	0.0	284.031	0.0	4.22724	9.855599999999999	992.3389999999999	407.846	333.318	1.0	3.0	1.0	1.0	1.0
1	2021	22	14.5	287.40212651371274	287.40212651371274	287.865	0.0	283.911	0.0	4.97508	9.35584	992.282	395.288	311.0	1.0	3.0	1.0	1.0	1.0
1	2021	22	15.0	288.20552301494286	288.20552301494286	288.05	0.0	284.229	0.0	3.96531	8.887970000000001	992.1370000000001	404.948	299.231	1.0	3.0	1.0	1.0	1.0
1	2021	22	15.5	286.32259809916604	286.32259809916604	288.137	0.0	283.726	0.0	3.60089	8.87015	992.441	233.797	306.975	1.0	3.0	1.0	1.0	1.0
1	2021	22	16.0	285.642080173881	285.642080173881	288.117	0.0	283.602	0.0	3.00571	8.767809999999999	992.3519999999999	199.848	290.007	1.0	3.0	1.0	1.0	1.0
1	2021	22	16.5	284.74376163680876	284.74376163680876	287.967	0.0	283.304	0.0	3.06169	8.696280000000002	992.3000000000001	143.61	293.4	1.0	3.0	1.0	1.0	1.0
1	2021	22	17.0	283.2874296164032	283.2874296164032	287.765	0.0	282.584	0.0	2.54816	8.86836	992.356	56.8529	306.887	1.0	3.0	1.0	1.0	1.0
1	2021	22	17.5	281.1647271148556	281.1647271148556	287.433	0.0	281.797	0.0	1.49123	8.95023	992.215	10.9136	298.474	1.0	3.0	1.0	1.0	1.0
1	2021	22	18.0	279.2536010073702	279.2536010073702	287.044	0.0	280.124	0.0	0.403486	9.59418	992.087	-4.7269	305.719	1.0	3.0	1.0	1.0	1.0
1	2021	22	18.5	278.502879155442	278.502879155442	286.629	0.0	279.255	0.0	1.44413	8.954699999999999	992.1569999999999	-2.44631	305.799	1.0	3.0	1.0	1.0	1.0
1	2021	22	19.0	279.1427254703106	279.1427254703106	286.173	0.0	279.432	0.0	1.41871	8.94165	992.012	-2.13228	311.613	1.0	3.0	1.0	1.0	1.0
1	2021	22	19.5	278.27126938207493	278.27126938207493	285.793	0.0	278.802	0.0	0.882117	8.59778	991.9780000000001	-2.78689	306.577	1.0	3.0	1.0	1.0	1.0
1	2021	22	20.0	279.46101252145814	279.46101252145814	285.427	0.0	279.275	0.0	0.507284	8.79237	991.882	-0.482487	325.782	1.0	3.0	1.0	1.0	1.0
1	2021	22	20.5	280.64460114159635	280.64460114159635	285.161	0.0	281.205	0.0	0.584847	9.49054	991.9839999999999	-0.612035	329.032	1.0	3.0	1.0	1.0	1.0
1	2021	22	21.0	280.80141585922564	280.80141585922564	285.048	0.0	281.26	0.0	2.40442	9.82778	991.8989999999999	-3.52893	303.847	1.0	3.0	1.0	1.0	1.0
1	2021	22	21.5	280.9430575388725	280.9430575388725	284.828	0.0	281.228	0.0	2.41069	9.56358	991.9	-2.65139	325.596	1.0	3.0	1.0	1.0	1.0
1	2021	22	22.0	281.6149509915687	281.6149509915687	284.716	0.0	280.769	0.0	1.74342	10.5596	991.9939999999999	-1.99037	345.926	1.0	3.0	1.0	1.0	1.0
1	2021	22	22.5	280.9110420573633	280.9110420573633	284.65	0.0	280.518	0.0	0.791274	10.092600000000001	991.995	-2.03569	334.284	1.0	3.0	1.0	1.0	1.0
1	2021	22	23.0	279.5140463741954	279.5140463741954	284.65	0.0	280.147	0.0	1.31618	9.771889999999999	991.9100000000001	-3.04461	321.885	1.0	3.0	1.0	1.0	1.0
1	2021	22	23.5	279.50949330885555	279.50949330885555	284.49	0.0	280.177	0.0	1.66036	9.67954	991.74	-2.18447	324.688	1.0	3.0	1.0	1.0	1.0
1	2021	23	0.0	278.4020697176831	278.4020697176831	284.369	0.0	279.828	0.0	0.914362	9.575309999999998	991.537	-3.5477	312.345	1.0	3.0	1.0	1.0	1.0
1	2021	23	0.5	277.9427073208628	277.9427073208628	284.215	0.0	279.463	0.0	0.64356	9.36348	991.3839999999999	1.16044	328.286	1.0	3.0	1.0	1.0	1.0
1	2021	23	1.0	277.8749828330263	277.8749828330263	284.013	0.0	279.293	0.0	0.731333	9.08736	991.178	1.35682	329.51	1.0	3.0	1.0	1.0	1.0
1	2021	23	1.5	278.71972667975683	278.71972667975683	283.823	0.0	280.062	0.0	0.915467	9.27546	991.2530000000002	-1.05103	319.996	1.0	3.0	1.0	1.0	1.0
1	2021	23	2.0	277.88071827676885	277.88071827676885	283.672	0.0	279.405	0.0	0.228012	9.13494	991.143	-2.06041	312.803	1.0	3.0	1.0	1.0	1.0
1	2021	23	2.5	279.5806202426839	279.5806202426839	283.511	0.0	279.659	0.0	1.11326	9.25188	991.0239999999999	0.0302122	333.164	1.0	3.0	1.0	1.0	1.0
1	2021	23	3.0	279.1141688134519	279.1141688134519	283.45	0.0	279.724	0.0	0.751461	9.403469999999999	990.9639999999999	-2.09383	321.994	1.0	3.0	1.0	1.0	1.0
1	2021	23	3.5	278.87614911709187	278.87614911709187	283.403	0.0	279.025	0.0	0.359584	8.71834	990.5939999999999	-1.35408	325.617	1.0	3.0	1.0	1.0	1.0
1	2021	23	4.0	279.33882167943625	279.33882167943625	283.35	0.0	279.171	0.0	0.261562	8.888250000000001	990.4360000000001	-0.551152	332.127	1.0	3.0	1.0	1.0	1.0
1	2021	23	4.5	278.11924421526123	278.11924421526123	283.349	0.0	279.191	0.0	0.132137	8.713189999999999	990.299	-1.77934	311.644	1.0	3.0	1.0	1.0	1.0
1	2021	23	5.0	280.1192599061581	280.1192599061581	283.256	0.0	279.922	0.0	1.39382	9.53483	990.242	-0.222475	335.555	1.0	3.0	1.0	1.0	1.0
1	2021	23	5.5	280.4279147252888	280.4279147252888	283.25	0.0	279.769	0.0	1.93738	9.526209999999999	990.238	-0.867012	341.198	1.0	3.0	1.0	1.0	1.0
1	2021	23	6.0	279.91588292820387	279.91588292820387	283.25	0.0	279.631	0.0	1.01412	8.73347	990.094	-1.41221	326.908	1.0	3.0	1.0	1.0	1.0
