Site	year	DOY	time	T_R1	T_C	T_S	VZA	T_A1	T_A0	u	ea	p	S_dn	RN	L_dn	LAI	h_C	f_c	f_g	w_C
1	2021	21	13.0	304.8120712628412	304.8120712628412	313.15	0.0	295.466	0.0	2.97975	3.7902400000000003	994.821	652.665	373.686	309.186	1.0	3.0	1.0	1.0	1.0
1	2021	21	13.5	303.99458828391926	303.99458828391926	313.15	0.0	295.249	0.0	3.84172	3.4158999999999997	994.645	633.551	359.324	307.002	1.0	3.0	1.0	1.0	1.0
1	2021	21	14.0	302.52583790183223	302.52583790183223	313.15	0.0	294.623	0.0	4.25414	3.40283	994.649	594.067	331.933	304.942	1.0	3.0	1.0	1.0	1.0
1	2021	21	14.5	301.6460922500232	301.6460922500232	313.15	0.0	294.074	0.0	3.46257	3.43337	994.4839999999999	537.759	285.771	303.169	1.0	3.0	1.0	1.0	1.0
1	2021	21	15.0	299.9655175272026	299.9655175272026	313.15	0.0	293.552	0.0	3.21796	3.57688	994.397	466.816	233.566	302.237	1.0	3.0	1.0	1.0	1.0
1	2021	21	15.5	298.0624276508119	298.0624276508119	313.15	0.0	293.12	0.0	2.55925	3.49282	994.4510000000001	385.654	172.47	300.622	1.0	3.0	1.0	1.0	1.0
1	2021	21	16.0	295.43887033713213	295.43887033713213	313.15	0.0	292.474	0.0	2.38957	3.69955	994.2950000000001	293.684	106.315	298.484	1.0	3.0	1.0	1.0	1.0
1	2021	21	20.0	282.417133385344	282.417133385344	313.15	0.0	282.71	0.0	3.72424	9.94467	995.1980000000001	-4.63627	-89.8778	275.25	1.0	3.0	1.0	1.0	1.0
1	2021	21	20.5	281.7017225759345	281.7017225759345	313.15	0.0	282.224	0.0	1.93955	10.426900000000002	995.424	-4.22519	-78.2654	283.147	1.0	3.0	1.0	1.0	1.0
1	2021	21	21.0	281.44555239353014	281.44555239353014	313.15	0.0	281.932	0.0	2.11131	10.0959	995.5830000000001	-4.40052	-82.6986	277.588	1.0	3.0	1.0	1.0	1.0
1	2021	21	21.5	280.7563799626489	280.7563799626489	313.15	0.0	281.572	0.0	1.6056	9.913730000000001	995.544	-4.30896	-80.1914	276.708	1.0	3.0	1.0	1.0	1.0
1	2021	21	22.0	280.6381041759364	280.6381041759364	313.15	0.0	281.378	0.0	1.47146	9.91732	995.4000000000001	-3.72073	-69.6387	286.235	1.0	3.0	1.0	1.0	1.0
1	2021	22	1.0	274.96861869372424	274.96861869372424	313.15	0.0	276.728	0.0	0.519582	7.1152999999999995	994.0939999999999	-3.31057	-69.4811	259.179	1.0	3.0	1.0	1.0	1.0
1	2021	22	3.0	278.2817105136813	278.2817105136813	313.15	0.0	278.992	0.0	1.74842	8.56082	994.207	-3.1444	-59.4226	284.127	1.0	3.0	1.0	1.0	1.0
1	2021	22	3.5	277.31829530019286	277.31829530019286	313.15	0.0	278.188	0.0	0.917078	8.078990000000001	993.9060000000001	-3.75735	-53.3173	285.481	1.0	3.0	1.0	1.0	1.0
1	2021	22	9.0	286.72882466421504	286.72882466421504	313.15	0.0	284.085	0.0	0.665579	9.5178	993.96	251.82	161.562	333.803	1.0	3.0	1.0	1.0	1.0
1	2021	22	11.5	288.07346603007375	288.07346603007375	313.15	0.0	284.752	0.0	2.23245	9.59492	993.4689999999999	134.81	88.3243	361.678	1.0	3.0	1.0	1.0	1.0
1	2021	22	14.0	287.8212291833665	287.8212291833665	313.15	0.0	284.031	0.0	4.22724	9.855599999999999	992.3389999999999	407.846	297.883	333.318	1.0	3.0	1.0	1.0	1.0
1	2021	22	15.0	288.20552301494286	288.20552301494286	313.15	0.0	284.229	0.0	3.96531	8.887970000000001	992.1370000000001	404.948	247.866	299.231	1.0	3.0	1.0	1.0	1.0
1	2021	22	16.0	285.642080173881	285.642080173881	313.15	0.0	283.602	0.0	3.00571	8.767809999999999	992.3519999999999	199.848	77.417	290.007	1.0	3.0	1.0	1.0	1.0
1	2021	23	4.0	279.33882167943625	279.33882167943625	313.15	0.0	279.171	0.0	0.261562	8.888250000000001	990.4360000000001	-0.551152	-14.5488	332.127	1.0	3.0	1.0	1.0	1.0
1	2021	23	10.0	287.07276358460734	287.07276358460734	313.15	0.0	283.001	0.0	0.592021	9.2938	990.9050000000001	359.129	224.607	303.099	1.0	3.0	1.0	1.0	1.0
1	2021	23	11.5	285.3080907502889	285.3080907502889	313.15	0.0	282.467	0.0	2.92513	8.427109999999999	990.87	163.801	108.677	340.681	1.0	3.0	1.0	1.0	1.0
1	2021	23	12.5	287.82405949474094	287.82405949474094	313.15	0.0	282.335	0.0	2.4517	8.649690000000001	990.165	419.194	305.347	331.439	1.0	3.0	1.0	1.0	1.0
1	2021	23	13.0	288.92599556466166	288.92599556466166	313.15	0.0	282.991	0.0	1.75668	8.300460000000001	989.794	480.277	322.373	304.456	1.0	3.0	1.0	1.0	1.0
1	2021	23	13.5	292.07563830748455	292.07563830748455	313.15	0.0	284.342	0.0	3.10538	8.16364	989.4780000000001	667.289	444.558	287.939	1.0	3.0	1.0	1.0	1.0
1	2021	23	14.0	292.23830911842606	292.23830911842606	313.15	0.0	284.55	0.0	3.22721	8.542580000000001	989.3719999999998	648.625	428.207	291.697	1.0	3.0	1.0	1.0	1.0
1	2021	23	20.5	279.09347852551366	279.09347852551366	313.15	0.0	280.108	0.0	0.601473	8.70858	990.9519999999999	-3.46255	-80.3841	266.918	1.0	3.0	1.0	1.0	1.0
1	2021	24	4.5	277.22724488736037	277.22724488736037	313.15	0.0	278.355	0.0	3.85455	6.746409999999999	991.2710000000002	-3.14715	-82.9351	255.555	1.0	3.0	1.0	1.0	1.0
1	2021	24	5.0	277.3264740473149	277.3264740473149	313.15	0.0	278.281	0.0	3.94348	6.7817300000000005	991.2919999999999	-3.50238	-83.3299	255.61	1.0	3.0	1.0	1.0	1.0
1	2021	24	6.5	275.88446771688075	275.88446771688075	313.15	0.0	277.375	0.0	1.97357	7.01573	991.59	-3.01348	-77.1154	255.313	1.0	3.0	1.0	1.0	1.0
1	2021	24	12.0	290.5691080983083	290.5691080983083	313.15	0.0	284.92	0.0	3.91944	9.00512	991.778	499.855	350.694	325.835	1.0	3.0	1.0	1.0	1.0
1	2021	24	12.5	287.5126856808521	287.5126856808521	313.15	0.0	283.917	0.0	4.13067	9.32663	991.46	246.061	165.552	338.407	1.0	3.0	1.0	1.0	1.0
1	2021	24	13.0	286.81004669564993	286.81004669564993	313.15	0.0	283.598	0.0	4.61803	9.16165	991.31	246.676	165.659	335.661	1.0	3.0	1.0	1.0	1.0
1	2021	24	14.0	284.9755716320699	284.9755716320699	313.15	0.0	282.529	0.0	4.47981	9.15272	990.9519999999999	121.282	77.8561	346.18	1.0	3.0	1.0	1.0	1.0
1	2021	24	15.0	283.89026123189944	283.89026123189944	313.15	0.0	282.005	0.0	3.115	9.57617	990.893	97.9292	63.6497	348.971	1.0	3.0	1.0	1.0	1.0
1	2021	24	15.5	284.1817465024125	284.1817465024125	313.15	0.0	282.657	0.0	3.3365	9.11921	990.7130000000001	108.059	65.4416	342.654	1.0	3.0	1.0	1.0	1.0
1	2021	24	16.0	283.80481354699975	283.80481354699975	313.15	0.0	282.628	0.0	3.43054	8.93332	990.564	76.1835	33.2547	334.77	1.0	3.0	1.0	1.0	1.0
1	2021	24	20.5	280.7943104331464	280.7943104331464	313.15	0.0	281.049	0.0	1.21667	8.999500000000001	990.093	-0.351107	-16.5007	336.897	1.0	3.0	1.0	1.0	1.0
1	2021	25	6.0	278.7409180781984	278.7409180781984	313.15	0.0	279.424	0.0	5.07547	6.637309999999999	988.203	-0.402835	-35.6504	310.757	1.0	3.0	1.0	1.0	1.0
1	2021	25	14.0	281.734644810567	281.734644810567	313.15	0.0	280.624	0.0	8.32327	6.899679999999999	987.2919999999999	289.165	180.945	287.484	1.0	3.0	1.0	1.0	1.0
1	2021	25	15.0	282.0510620085212	282.0510620085212	313.15	0.0	281.193	0.0	8.50404	6.678920000000001	987.4490000000001	281.632	163.774	280.506	1.0	3.0	1.0	1.0	1.0
